Дисциплінарна палата,Член ВРП,Надійшло / авторозподілено,Розглянуто,Залишено без розгляду одноособово,Залишено без розгляду палатою,Відмовлено у відкритті справи,Відкрито дисциплінарну справу,Притягнуто до відповідальності,Відмовлено у притягненні,Закрито справу,Залишок на 31.07.2026
Перша Дисциплінарна палата,Бокова Ю.В.,2120,1286,253,515,474,47,19,22,7,37
Перша Дисциплінарна палата,Бондаренко Т.З.,2351,1509,277,792,401,52,24,24,2,57
Перша Дисциплінарна палата,Кваша О.О.,1064,589,182,126,274,12,4,3,0,0
Перша Дисциплінарна палата,Котелевець А.В.,2165,1099,235,491,338,45,29,15,4,45
Перша Дисциплінарна палата,Махінчук В.М.,376,294,0,213,77,11,4,0,0,82
Перша Дисциплінарна палата,Мороз М.В.,2339,1570,291,543,700,57,33,14,0,16
Перша Дисциплінарна палата,Сав’юк М.І.,363,320,0,215,100,5,2,2,1,43
Друга Дисциплінарна палата,Бурлаков С.Ю.,2300,1546,298,586,629,33,19,11,6,75
Друга Дисциплінарна палата,Ковбій О.В.,2204,1270,256,630,338,52,20,24,6,31
Друга Дисциплінарна палата,Маселко Р.А.,2414,1323,247,609,389,97,51,27,8,23
Друга Дисциплінарна палата,Мельник О.П.,2314,1424,257,538,567,76,34,30,4,27
Друга Дисциплінарна палата,Саліхов В.В.,1658,1041,310,439,259,23,10,17,6,0
Друга Дисциплінарна палата,Спірідонова Т.В.,206,146,0,96,50,0,0,0,0,60
Третя Дисциплінарна палата,Кандзюба О.В.,2567,1651,225,886,476,89,63,17,2,43
Третя Дисциплінарна палата,Круподеря Д.О.,230,165,0,107,58,9,0,0,0,65
Третя Дисциплінарна палата,Лук’янов Д.В.,1588,1224,137,636,404,57,29,29,5,12
Третя Дисциплінарна палата,Плахтій І.Б.,1689,633,276,165,186,20,6,0,0,0
Третя Дисциплінарна палата,Попікова О.В.,2423,1443,259,748,387,61,23,28,2,146
Третя Дисциплінарна палата,Сасевич О.М.,2316,2159,322,929,861,63,34,18,2,40
