Рік,Дисциплінарна палата,Надійшло / авторозподілено,Розглянуто,Залишено без розгляду одноособово,Залишено без розгляду палатою,Відмовлено у відкритті справи,Відкрито дисциплінарну справу,Притягнуто до відповідальності,Відмовлено у притягненні,Закрито справу,Залишок на 31.07.2026
2023,Перша Дисциплінарна палата,4512,593,516,38,35,1,3,1,0,3919
2023,Друга Дисциплінарна палата,5083,774,587,67,109,7,0,5,6,4309
2023,Третя Дисциплінарна палата,4636,758,477,67,207,6,4,3,0,3878
2023,Усього,14231,2125,1580,172,351,14,7,9,6,12106
2024,Перша Дисциплінарна палата,2699,2787,722,740,1231,120,42,43,9,3796
2024,Друга Дисциплінарна палата,2881,3061,781,1126,1019,101,75,47,13,4065
2024,Третя Дисциплінарна палата,2534,3180,742,1256,1089,113,68,24,1,3197
2024,Усього,8114,9028,2245,3122,3339,334,185,114,23,11058
2025,Перша Дисциплінарна палата,2230,2066,0,1265,775,67,47,15,3,164
2025,Друга Дисциплінарна палата,1918,1711,0,979,679,120,31,34,9,207
2025,Третя Дисциплінарна палата,2274,2060,0,1250,746,125,57,42,10,214
2025,Усього,6422,5837,0,3494,2200,312,135,91,22,585
2026,Перша Дисциплінарна палата,1337,1221,0,852,323,41,23,21,2,280
2026,Друга Дисциплінарна палата,1214,1204,0,726,425,53,28,23,2,216
2026,Третя Дисциплінарна палата,1369,1277,0,898,330,55,26,23,0,306
2026,Усього,3920,3702,0,2476,1078,149,77,67,4,802
