№,Суддя,Суд,Дата подання ВККС,Дата розподілу,Дата рішення ВРП,Строк розгляду (днів),Суть рішення ВРП,Посилання на рішення ВРП,Доповідач
1,Берлімова Ю.Г.,Генічеського районного суду Херсонської області,15.01.2024,12.02.2024,09.04.2024,57,звільнити,https://hcj.gov.ua/doc/doc/44992,Бокова
2,Біла-Кисельова А.А.,Білозерського районного суду Херсонської області,17.01.2024,07.03.2024,30.04.2024,54,звільнити,https://hcj.gov.ua/doc/doc/45358,Мельник
3,Яненко Г.М.,Великоновосілківського районного суду Донецької області,20.11.2023,29.12.2023,14.05.2024,137,звільнити,https://hcj.gov.ua/doc/doc/45520,Лук’янов
4,Сенаторов В.А.,Мар’їнського районного суду Донецької області,19.02.2024,01.04.2024,04.07.2024,94,звільнити,https://hcj.gov.ua/doc/doc/46440,Бондаренко
5,Отрош І.М.,Господарського суду міста Києва,29.01.2024,26.02.2024,10.10.2024,227,звільнити,https://hcj.gov.ua/doc/doc/47796,Кандзюба
6,Медведський М.Д.,Мар’їнського районного суду Донецької області,05.02.2024,11.03.2024,17.10.2024,220,звільнити,https://hcj.gov.ua/doc/doc/47902,Попікова
7,Шарко Н.А.,Генічеського районного суду Херсонської області,12.02.2024,01.04.2024,21.01.2025,295,залишити без розгляду,https://hcj.gov.ua/doc/doc/49612,Маселко
8,Андрієнко Г.В.,Октябрського районного суду міста Полтави,29.08.2024,02.10.2024,21.01.2025,111,залишити без розгляду,https://hcj.gov.ua/doc/doc/49665,Попікова
9,Нагорнюк Ю.В.,Новоград-Волинського міськрайонного суду Житомирської області,25.03.2024,24.05.2024,13.02.2025,265,відмовити,https://hcj.gov.ua/doc/doc/50297,Ковбій
10,Галаган О.В.,Кіровського районного суду міста Кіровограда,22.10.2024,24.10.2024,18.02.2025,117,звільнити,https://hcj.gov.ua/doc/doc/50330,Бурлаков
11,Шейко Т.І.,Окружного адміністративного суду міста Києва,04.12.2024,09.12.2024,18.02.2025,71,звільнити,https://hcj.gov.ua/doc/doc/50463,Котелевець
12,Мирошниченко О.В.,Голосіївського районного суду міста Києва,18.12.2023,05.01.2024,04.03.2025,424,звільнити,https://hcj.gov.ua/doc/doc/50886,Кваша
13,Борденюк В.В.,Святошинського районного суду міста Києва,11.06.2024,09.07.2024,04.03.2025,238,відмовити,https://hcj.gov.ua/doc/doc/50889,Бондаренко
14,Шумейко О.І.,Оболонського районного суду міста Києва,28.10.2024,26.11.2024,11.03.2025,105,відмовити,https://hcj.gov.ua/doc/doc/51049,Попікова
15,Панченко О.О.,Авдіївського міського суду Донецької області,03.09.2024,10.10.2024,20.03.2025,161,звільнити,https://hcj.gov.ua/doc/doc/51193,Мельник
16,Анісімова Н.Д.,Білгород-Дністровського міськрайонного суду Одеської області,04.12.2024,31.12.2024,25.03.2025,84,звільнити,https://hcj.gov.ua/doc/doc/51438,Бондаренко
17,Єдаменко І.В.,Покровського районного суду Дніпропетровської області,18.12.2023,05.01.2024,03.04.2025,454,звільнити,https://hcj.gov.ua/doc/doc/51594,Кваша
18,Денисюк І.І.,Лугинського районного суду Житомирської області,30.07.2024,19.03.2025,08.04.2025,20,звільнити,https://hcj.gov.ua/doc/doc/51636,Ковбій
19,Опалинська О.П.,Смілянського міськрайонного суду Черкаської області,15.01.2024,05.02.2024,10.04.2025,430,звільнити,https://hcj.gov.ua/doc/doc/51741,Кваша
20,Вергелес А.В.,Вінницького окружного адміністративного суду,09.01.2025,24.03.2025,15.04.2025,22,залишити без розгляду,https://hcj.gov.ua/doc/doc/51898,Маселко
21,Ступак С.В.,Дзержинського районного суду міста Кривого Рогу Дніпропетровської області (нині — Металургійного районного суду міста Кривого Рогу),26.02.2024,04.04.2024,01.05.2025,392,відмовити,https://hcj.gov.ua/doc/doc/52056,Мельник
22,Яценко Г.М.,Лисянського районного суду Черкаської області,11.12.2023,05.01.2024,20.05.2025,501,відмовити,https://hcj.gov.ua/doc/doc/52472,Бурлаков
23,Стулень Н.О.,Лиманського міського суду Донецької області,19.03.2025,11.04.2025,02.10.2025,174,звільнити,https://hcj.gov.ua/doc/doc/54790,Кваша
24,Бутенко В.О.,Фастівського міськрайонного суду Київської області,19.02.2024,01.04.2024,14.10.2025,561,звільнити,https://hcj.gov.ua/doc/doc/55121,Бурлаков
25,Тьор Є.М.,Знам’янського міськрайонного суду Кіровоградської області,23.07.2024,27.08.2024,16.10.2025,415,відмовити,https://hcj.gov.ua/doc/doc/55149,Кандзюба
26,Молібога Г.В.,Дружківського міського суду Донецької області,19.03.2025,15.04.2025,28.10.2025,196,залишити без розгляду,https://hcj.gov.ua/doc/doc/55271,Кваша
27,Бурда П.О.,Петропавлівського районного суду Дніпропетровської області,29.04.2025,21.05.2025,30.10.2025,162,залишити без розгляду,https://hcj.gov.ua/doc/doc/55314,Кваша
28,Лозинська М.І.,Солом’янського районного суду міста Києва,29.01.2024,29.02.2024,18.12.2025,658,залишити без розгляду,https://hcj.gov.ua/doc/doc/56501,Бокова
29,Гончаренко О.О.,Межівського районного суду Дніпропетровської області,12.02.2024,15.03.2024,24.02.2026,711,відмовити,https://hcj.gov.ua/doc/doc/57560,Ковбій
30,Юр’єв О.Ю.,Межівського районного суду Дніпропетровської області,09.01.2025,18.02.2025,26.03.2026,401,відмовити,https://hcj.gov.ua/doc/doc/58413,Усик
31,Щербак Д.С.,Бердичівського міськрайонного суду Житомирської області,26.11.2024,31.12.2024,09.04.2026,464,звільнити,https://hcj.gov.ua/doc/doc/58242,Кваша
32,Мірінович У.А.,Тернопільського окружного адміністративного суду,10.12.2025,26.01.2026,28.04.2026,92,відмовити,https://hcj.gov.ua/doc/doc/58672,Котелевець
33,Чернов Д.Є.,Ірпінського міського суду Київської області,10.10.2024,20.11.2024,21.05.2026,547,відмовити,https://hcj.gov.ua/doc/doc/59103,Сасевич
34,Добрівська Н.А.,Окружного адміністративного суду міста Києва,20.04.2026,30.04.2026,09.06.2026,40,залишити без розгляду,https://hcj.gov.ua/doc/doc/59493,Кандзюба
35,Крутова О.М.,Арцизького районного суду Одеської області,02.12.2024,13.01.2025,16.06.2026,519,відмовити,https://hcj.gov.ua/doc/doc/60053,Бокова
36,Галаган О.В.,Фортечного районного суду міста Кропивницького (раніше — Кіровського р/с міста Кіровограда),22.10.2024,24.10.2024,18.06.2026,602,залишити без розгляду,https://hcj.gov.ua/doc/doc/59711,Бурлаков
37,Галатіна О.О.,Донецького окружного адміністративного суду,17.01.2024,12.02.2024,25.06.2026,864,звільнити,https://hcj.gov.ua/doc/doc/59910,Сасевич
38,Дзюба О.А.,Господарського суду Харківської області,16.12.2024,27.01.2025,07.07.2026,526,залишити без розгляду,https://hcj.gov.ua/doc/doc/60068,Сасевич
39,Штульман І.В.,Шостого апеляційного адміністративного суду,14.05.2026,17.06.2026,07.07.2026,20,залишити без розгляду,https://hcj.gov.ua/doc/doc/60076,Котелевець
40,Васильєва К.О.,Святошинського районного суду міста Києва,29.01.2024,26.02.2024,21.07.2026,876,залишити без розгляду,https://hcj.gov.ua/doc/doc/60388,Маселко
41,Бойчук А.Ю.,Приморського районного суду міста Одеси,24.02.2025,01.04.2025,28.07.2026,483,відмовити,https://hcj.gov.ua/doc/doc/60533,Кваша
42,Гаврильченко Ю.В.,Голопристанського районного суду Херсонської області,17.09.2024,21.10.2024,11.08.2026,659,звільнити,https://hcj.gov.ua/doc/doc/60860,Кваша
43,Семенова Н.М.,Апостолівського районного суду Дніпропетровської області,08.08.2024,10.09.2024,13.08.2026,702,відмовити,https://hcj.gov.ua/doc/doc/60975,Лук’янов
44,Ізовітова-Вакім О.В.,Харківського окружного адміністративного суду,18.01.2024,16.02.2024,,,на розгляді,,Мороз
45,Щербаков В.В.,Рівненського окружного адміністративного суду,01.04.2024,29.04.2024,,,на розгляді,,Кваша
46,Шевченко А.В.,Київського окружного адміністративного суду,14.05.2024,24.05.2024,,,на розгляді,,Кваша
47,Бончев І.В.,Фастівського міськрайонного суду Київської області,25.06.2024,23.07.2024,,,на розгляді,,Бокова
48,Середа К.О.,Печерського районного суду міста Києва,05.09.2024,08.10.2024,,,на розгляді,,Мельник
