№,Суддя,Суд,Суть рішення ВРП,Дата рішення,№ рішення,Посилання на рішення
1,Мазуренко Вячеслав Вадимович,Інгулецький районний суд міста Кривого Рогу Дніпропетровської області,подання про звільнення судді з посади,12.08.2026,1634/2дп/15-26,https://hcj.gov.ua/doc/doc/60945
2,Чорна Валентина Гнатівна,Зборівський районний суд Тернопільської області,подання про звільнення судді з посади,05.08.2026,1592/2дп/15-26,https://hcj.gov.ua/doc/doc/60864
3,Стрілець Ярослав Степанович,Заставнівський районний суд Чернівецької області,подання про звільнення судді з посади,29.07.2026,1556/2дп/15-26,https://hcj.gov.ua/doc/doc/60979
4,Іваницький Олег Романович,Зборівський районний суд Тернопільської області,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,22.07.2026,1492/2дп/15-26,https://hcj.gov.ua/doc/doc/60882
5,Снігурський Валерій Вікторович,Зборівський районний суд Тернопільської області,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,22.07.2026,1493/2дп/15-26,https://hcj.gov.ua/doc/doc/60647
6,Бойко Сергій Сергійович,Полтавський окружний адміністративний суд,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,08.07.2026,1407/2дп/15-26,https://hcj.gov.ua/doc/doc/60370
7,Жовнір Григорій Богданович,Личаківський районний суд міста Львова,попередження,01.07.2026,1343/2дп/15-26,https://hcj.gov.ua/doc/doc/60074
8,Сіденко Сергій Іванович,Олешківський районний суд Херсонської області (відряджений до Саксаганського районного суду міста Кривого Рогу Дніпропетровської області),догана з позбавленням права на отримання доплат до посадового окладу судді протягом одного місяця,15.04.2026,682/2дп/15-26,https://hcj.gov.ua/doc/doc/58427
9,Тімошенко Наталія Володимирівна,Шевченківський районний суд міста Полтави,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,08.04.2026,616/2дп/15-26,https://hcj.gov.ua/doc/doc/58288
10,Бугрій Володимир Михайлович,Шевченківський районний суд міста Полтави,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,25.03.2026,498/2дп/15-26,https://hcj.gov.ua/doc/doc/57973
11,Шевська Олена Іванівна,Шевченківський районний суд міста Полтави,сувора догана з позбавленням права на отримання доплат до посадового окладу судді протягом трьох місяців,25.03.2026,499/2дп/15-26,https://hcj.gov.ua/doc/doc/57979
12,Приходько Вікторія Анатоліївна,Мар’їнський районний суд Донецької області (відряджена до Шевченківського районного суду міста Запоріжжя),подання про звільнення судді з посади,14.01.2026,45/2дп/15-26,https://hcj.gov.ua/doc/doc/57008
13,Ліпчанський Сергій Миколайович,Мар’їнський районний суд Донецької області (відряджений до Апостолівського районного суду Дніпропетровської області),подання про звільнення судді з посади,12.11.2025,2423/2дп/15-25,https://hcj.gov.ua/doc/doc/56932
14,Боярський Олександр Олександрович,Білгород-Дністровський міськрайонний суд Одеської області,подання про звільнення судді з посади,03.02.2025,153/1дп/15-25,https://hcj.gov.ua/doc/doc/50251
15,Заверюха Валентин Олексійович,Білгород-Дністровський міськрайонний суд Одеської області,подання про звільнення судді з посади,13.01.2025,17/1дп/15-25,https://hcj.gov.ua/doc/doc/49747
16,Савицький Сергій Ігорович,Білгород-Дністровський міськрайонний суд Одеської області,подання про звільнення судді з посади,25.11.2024,3408/1дп/15-24,https://hcj.gov.ua/doc/doc/48587
