Показник,2023,2024,2025,2026 (січень – липень),Усього,Примітка
Засідання ВРП,122,110,113,63,408,Проведені засідання ВРП
Акти ВРП: рішення та ухвали,1237,1659,1619,901,5416,Без окремого додавання протокольних ухвал
— у т. ч. рішення,952,1359,1212,674,4197,
— у т. ч. ухвали,285,300,407,227,1219,
Подання Президентові України про призначення суддів,1,471,161,122,755,Рішення про внесення подання / внесені подання
Звільнення за поданнями ДП та рекомендаціями ВККС,0,30,40,20,90,Сума двох наступних рядків
— за поданнями дисциплінарних палат,0,30,30,18,78,
— за рекомендаціями ВККС,0,0,10,2,12,2026: звільнення за перехідною конституційною процедурою
Звільнення у відставку та за власним бажанням,317,248,186,104,855,Сума двох наступних рядків
— у відставку,293,238,174,101,806,
— за власним бажанням,24,10,12,3,49,
Згода на тримання під вартою + первинне відсторонення,35,20,20,9,84,Без рішень про продовження строку відсторонення
— згода на затримання та утримання під вартою,15,4,6,1,26,
— тимчасове відсторонення у кримінальному провадженні,20,16,14,8,58,
Рішення про вжиття заходів для забезпечення незалежності й авторитету правосуддя,93,87,96,38,314,2026: 34 за повідомленнями суддів + 4 за іншими матеріалами
Затверджені висновки членів ВРП про відсутність підстав для вжиття заходів,97,130,114,54,395,
Рішення про відрядження суддів,26,71,57,41,195,"Саме рішення про відрядження/переведення, не загальна кількість актів"
Засідання Другої дисциплінарної палати,5,49,47,29,130,Особливо релевантно для звіту секретаря Другої ДП
Акти Другої дисциплінарної палати,111,1013,444,263,1831,
— у т. ч. рішення Другої ДП,4,87,66,54,211,
— у т. ч. ухвали Другої ДП,107,926,378,209,1620,
Акти ВРП щодо незалежності/авторитету за власною ініціативою,6,5,8,13,32,Може бути окремим маркером проактивної ролі ВРП
